166983r	183854f	129	100	32	100	100	1	69	98.55	4e-30	+
4784f	198091f	145	100	1	97	100	2	98	93.81	7e-35	+
21199f	198091f	157	100	6	100	100	1	95	95.79	2e-38	+
22567f	198091f	119	100	100	25	100	25	100	94.74	4e-27	-
30080f	198091f	143	100	100	17	100	17	100	96.43	3e-34	-
38815f	198091f	155	100	86	1	100	1	86	97.67	7e-38	-
52468f	198091f	161	100	8	96	100	1	89	97.75	1e-39	+
95076f	198091f	139	100	1	90	100	11	100	94.44	4e-33	+
99187f	198091f	133	100	5	87	100	18	100	95.18	3e-31	+
166983r	201145r	141	100	100	22	100	22	100	97.47	1e-33	-
96782f	204621f	117	100	100	34	100	34	100	97.01	2e-26	-
120463r	204621r	180	100	6	100	100	1	95	98.95	1e-45	+
111831f	208862f	89.7	100	1	57	100	44	100	94.74	4e-18	+
128326f	208862f	159	100	1	84	100	17	100	98.81	5e-39	+
147023r	208862f	161	100	1	89	100	12	100	97.75	1e-39	+
151223r	208862r	180	100	91	1	100	2	92	100	1e-45	-
111831f	210359f	157	100	3	97	100	1	95	95.83	2e-38	+
128326f	210359f	133	100	30	100	100	1	71	98.59	3e-31	+
147023r	210359f	123	100	35	100	100	1	66	98.48	3e-28	+
151223r	210359r	157	100	100	18	100	18	100	98.8	2e-38	-
7328f	212308r	133	100	1	98	100	3	100	91.84	3e-31	+
90069r	212308r	149	100	10	100	100	1	91	95.6	4e-36	+
99634f	212308r	184	100	100	4	100	4	100	98.97	8e-47	-
111831f	212308f	151	100	1	92	100	9	100	95.65	1e-36	+
128326f	212308f	145	100	20	100	100	1	81	97.53	7e-35	+
147023r	212308f	135	100	25	100	100	1	76	97.37	7e-32	+
151223r	212308r	103	100	100	45	100	45	100	98.21	2e-22	-
120463r	215892r	165	100	1	91	100	10	100	97.8	7e-41	+
204621f	215892f	115	100	39	100	100	4	65	98.39	6e-26	+
96782f	218613r	153	100	8	100	100	1	93	95.74	3e-37	+
109368r	218613f	105	100	44	100	100	1	57	98.25	6e-23	+
178286f	218613f	85.7	100	46	100	100	1	55	94.55	5e-17	+
204621f	218613f	145	100	1	89	100	12	100	95.51	7e-35	+
204621f	218613r	115	100	100	27	100	27	100	94.59	6e-26	-
20011f	224671r	101	100	59	1	100	1	59	96.61	9e-22	-
51737f	224671f	77.8	100	3	65	100	22	85	90.62	1e-14	+
54681r	224671f	107	100	43	100	100	1	58	98.28	1e-23	+
65932f	224671f	123	100	62	1	100	1	62	100	3e-28	-
69551r	224671f	89.7	100	1	57	100	43	100	94.83	4e-18	+
85470f	224671f	81.8	100	100	31	100	32	100	90	9e-16	-
87255r	224671f	147	100	1	78	100	22	100	98.73	2e-35	+
140181f	224671f	137	100	1	77	100	24	100	97.4	2e-32	+
109368r	226904r	178	100	94	1	100	1	94	98.94	5e-45	-
120463r	225269f	125	100	34	100	100	1	67	98.51	6e-29	+
178286f	226904r	167	100	96	1	100	1	96	96.91	2e-41	-
204621f	225269r	139	100	3	92	100	11	100	94.44	4e-33	+
218613r	225269r	115	100	100	35	100	35	100	96.97	6e-26	-
4021r	227816f	97.6	100	73	1	100	1	73	91.78	1e-20	-
32501f	227816f	153	100	100	12	100	12	100	96.63	3e-37	-
37485f	227816f	105	100	20	100	100	1	81	91.36	6e-23	+
90904f	227816f	87.7	100	100	45	100	45	100	94.64	1e-17	-
128701f	227816f	153	100	100	4	100	4	100	94.85	3e-37	-
54681f	233268r	119	100	1	76	100	25	100	94.74	4e-27	+
69094f	233268r	101	100	1	63	100	38	100	95.24	9e-22	+
128326f	233268f	143	100	80	1	100	1	80	97.5	3e-34	-
147023r	233268f	145	100	85	1	100	1	85	96.47	7e-35	-
32501r	241018r	168	100	97	1	100	1	97	96.91	5e-42	-
33603r	241018r	168	100	1	93	100	8	100	97.85	5e-42	+
52238f	241018r	121	100	100	15	100	16	100	93.02	1e-27	-
52238r	241018r	127	100	16	100	100	1	84	94.12	2e-29	+
52468r	241018r	117	100	100	22	100	18	96	93.67	2e-26	-
